Market,Timeframe,Baseline Mode,Trades,Win Rate (%),Net Profit ($),Sharpe Ratio
Gold,1m,standard,107,11.21,-1110.15,-10.2761
Gold,1m,roc,101,11.88,-1061.68,-10.0572
Gold,1m,macd,104,11.54,-1104.84,-10.3193
Gold,1m,linreg,0,0.0,0.0,0.0
Gold,5m,standard,33,24.24,-167.04,-0.8723
Gold,5m,roc,31,25.81,-92.98,-0.7183
Gold,5m,macd,32,25.0,-144.62,-0.8218
Gold,5m,linreg,0,0.0,0.0,0.0
Gold,15m,standard,20,30.0,98.16,-0.5867
Gold,15m,roc,20,30.0,91.48,-0.6086
Gold,15m,macd,20,30.0,98.16,-0.5867
Gold,15m,linreg,0,0.0,0.0,0.0
Gold,1h,standard,73,31.51,825.63,0.3241
Gold,1h,roc,70,31.43,991.94,0.4209
Gold,1h,macd,71,32.39,907.31,0.3732
Gold,1h,linreg,0,0.0,0.0,0.0
Silver,1m,standard,96,19.79,-1606.95,-6.8596
Silver,1m,roc,87,21.84,-1304.21,-6.8693
Silver,1m,macd,91,20.88,-1295.69,-6.8775
Silver,1m,linreg,0,0.0,0.0,0.0
Silver,5m,standard,61,16.39,-1548.84,-2.2386
Silver,5m,roc,58,17.24,-1513.0,-2.1767
Silver,5m,macd,60,16.67,-1508.17,-2.1867
Silver,5m,linreg,0,0.0,0.0,0.0
Silver,15m,standard,7,28.57,-33.84,-0.2274
Silver,15m,roc,7,28.57,-33.84,-0.2274
Silver,15m,macd,7,28.57,-33.84,-0.2274
Silver,15m,linreg,0,0.0,0.0,0.0
Silver,1h,standard,40,30.0,10924.28,1.1858
Silver,1h,roc,40,30.0,10896.85,1.1842
Silver,1h,macd,39,30.77,11006.46,1.1915
Silver,1h,linreg,0,0.0,0.0,0.0
Bitcoin,1m,standard,127,18.9,-1488.16,-7.6341
Bitcoin,1m,roc,101,21.78,-1122.31,-5.999
Bitcoin,1m,macd,121,19.83,-1404.88,-7.3428
Bitcoin,1m,linreg,0,0.0,0.0,0.0
Bitcoin,5m,standard,44,22.73,-1669.48,-3.5891
Bitcoin,5m,roc,41,24.39,-1541.43,-3.3689
Bitcoin,5m,macd,43,23.26,-1661.31,-3.5651
Bitcoin,5m,linreg,0,0.0,0.0,0.0
Bitcoin,15m,standard,20,20.0,-387.14,-1.8217
Bitcoin,15m,roc,20,20.0,-409.37,-1.8738
Bitcoin,15m,macd,18,22.22,-216.96,-1.3618
Bitcoin,15m,linreg,0,0.0,0.0,0.0
Bitcoin,1h,standard,63,23.81,-2328.36,-0.7735
Bitcoin,1h,roc,62,24.19,-2323.54,-0.7698
Bitcoin,1h,macd,61,24.59,-2602.65,-0.8744
Bitcoin,1h,linreg,0,0.0,0.0,0.0
