Asset,Timeframe,Regime,Net Profit,Sharpe
Gold,1m,BULL_LOW_VOL,82.93,1.1124
Gold,5m,BULL_LOW_VOL,243.94,0.4352
Gold,15m,BULL_LOW_VOL,620.64,1.4552
Gold,1h,BULL_LOW_VOL,1446.66,0.7456
Silver,1m,BULL_LOW_VOL,-51.12,-0.1096
Silver,5m,SIDEWAYS_LOW_VOL,-697.34,-2.2156
Silver,15m,SIDEWAYS_LOW_VOL,327.68,0.4196
Silver,1h,BULL_HIGH_VOL,9972.72,1.13
Bitcoin,1m,BULL_LOW_VOL,0.0,0.0
Bitcoin,5m,SIDEWAYS_LOW_VOL,176.25,-0.3654
Bitcoin,15m,SIDEWAYS_LOW_VOL,-105.98,-1.0178
Bitcoin,1h,SIDEWAYS_LOW_VOL,-2555.28,-0.8654
