Market,Timeframe,IS Best EMA,IS Best Threshold,OOS Trades,OOS Win Rate (%),OOS Net Profit ($),OOS Profit Factor,OOS Sharpe,OOS Max Drawdown (%)
Gold,1m,"EMA(9,15)",0.03,3,33.33,82.93,2.94,1.1124,0.34
Gold,5m,"EMA(21,200)",0.03,11,27.27,243.94,1.44,0.4352,3.84
Gold,15m,"EMA(21,50)",0.04,9,44.44,620.64,2.37,1.4552,3.5
Gold,1h,"EMA(21,50)",0.04,50,42.0,1446.66,1.29,0.7456,20.85
Silver,1m,"EMA(9,21)",0.1,3,33.33,-51.12,0.64,-0.1096,0.96
Silver,5m,"EMA(9,200)",0.2,6,16.67,-697.34,0.04,-2.2156,7.26
Silver,15m,"EMA(50,200)",0.05,5,40.0,327.68,1.37,0.4196,7.52
Silver,1h,"EMA(9,200)",0.1,34,35.29,9972.72,2.06,1.13,23.84
Bitcoin,1m,"EMA(9,21)",0.1,0,0.0,0.0,0.0,0.0,0.0
Bitcoin,5m,"EMA(50,200)",0.04,4,50.0,176.25,2.13,-0.3654,1.7
Bitcoin,15m,"EMA(21,200)",0.02,14,21.43,-105.98,0.9,-1.0178,6.28
Bitcoin,1h,"EMA(15,200)",0.03,59,25.42,-2555.28,0.64,-0.8654,39.77
